Total Questions: 1000
Correct Answers: 791
Wrong Answers: 209
Accuracy: 79.10%

Mismatched Answers:
Q8: Expected=-107.355 | Found=-489.855
Q375: Expected=89.054 | Found=78.054
Q377: Expected=3.6 | Found=3.1
Q382: Expected=-48470.686803 | Found=-48461.8422
Q385: Expected=-1.6370516617308324 | Found=-3.06
Q390: Expected=18.72 | Found=19.68
Q397: Expected=-641.794 | Found=-641.8
Q398: Expected=176.28726600000002 | Found=176.3
Q400: Expected=9.246 | Found=11.246
Q407: Expected=1.92 | Found=3.07
Q410: Expected=1.0 | Found=3.0
Q411: Expected=-48470.7 | Found=-48461.8
Q413: Expected=2274.4283499999997 | Found=2278.001
Q422: Expected=13.13 | Found=11.5
Q425: Expected=-390.32572799999997 | Found=-1840.7
Q431: Expected=-2259.127 | Found=-2262.7
Q432: Expected=-1.0 | Found=-3.0
Q442: Expected=28.351125 | Found=29.3734
Q443: Expected=2274.428 | Found=2278.001
Q446: Expected=-9.068999999999999 | Found=-18.819
Q458: Expected=10.802 | Found=10.302
Q461: Expected=1.6 | Found=1.8
Q464: Expected=7.306 | Found=7.852
Q465: Expected=2.7307353588727437 | Found=10.266
Q468: Expected=-79.592282 | Found=-79.6
Q491: Expected=591.1 | Found=591.2
Q496: Expected=79.47 | Found=81.34
Q501: Expected=-243.29299999999998 | Found=-243.516
Q504: Expected=18.618 | Found=19.902
Q518: Expected=10.55 | Found=11.51
Q519: Expected=1.134 | Found=1.081
Q521: Expected=-390.326 | Found=-1840.7
Q543: Expected=2.498 | Found=3.044
Q548: Expected=0.1914241960183767 | Found=0.3828
Q550: Expected=-26.077170418006432 | Found=-26.1
Q551: Expected=79.41477499999999 | Found=68.38
Q552: Expected=-817.874 | Found=-2493.674
Q555: Expected=2.229 | Found=1.683
Q568: Expected=7.448999999999999 | Found=7.149
Q578: Expected=15.199 | Found=13.088
Q583: Expected=-0.8429999999999999 | Found=-2.263
Q586: Expected=1.9180000000000001 | Found=1.372
Q588: Expected=-12.496 | Found=-55.676
Q595: Expected=-1.445 | Found=-0.588
Q596: Expected=79.46784 | Found=81.34
Q597: Expected=-171.0 | Found=-806.2
Q599: Expected=-170.96278800000002 | Found=-806.2
Q600: Expected=19.42 | Found=19.37
Q605: Expected=129.328 | Found=137.388
Q610: Expected=20.93 | Found=22.24
Q611: Expected=3.642 | Found=3.952
Q628: Expected=1.64 | Found=3.06
Q643: Expected=365.24296 | Found=365.3
Q650: Expected=7.595000000000001 | Found=7.695
Q651: Expected=1.6140135218192995 | Found=1.4136
Q652: Expected=20.933635480738104 | Found=22.24
Q653: Expected=365.243 | Found=365.3
Q657: Expected=2.4 | Found=3.6
Q658: Expected=-694.2615242778119 | Found=-695.36
Q659: Expected=1.0839999999999996 | Found=1.184
Q672: Expected=5.946 | Found=6.256
Q674: Expected=-790.51 | Found=-790.7
Q675: Expected=2.9 | Found=3.1
Q676: Expected=-817.8739999999999 | Found=-2493.674
Q680: Expected=-1378.5622547270782 | Found=-1378.63325
Q682: Expected=-95.77 | Found=-291.99
Q690: Expected=-1.4450000000000003 | Found=-0.588
Q694: Expected=2.76 | Found=2.96
Q701: Expected=17.301599999999997 | Found=25.9524
Q706: Expected=0.4280000000000004 | Found=1.841
Q707: Expected=13.125128960943258 | Found=11.503
Q708: Expected=-66.5 | Found=-66.3
Q714: Expected=7.149 | Found=8.006
Q717: Expected=-66.49730100000001 | Found=-66.26
Q721: Expected=9.75 | Found=19.5
Q723: Expected=-9.652 | Found=-9.152
Q730: Expected=-108.4482 | Found=-325.0
Q731: Expected=-2267.6079999999997 | Found=-2271.181
Q733: Expected=11.304409672830724 | Found=11.57
Q735: Expected=-111.8 | Found=-112.0
Q742: Expected=15.199200000000001 | Found=13.0882
Q743: Expected=13.117999999999999 | Found=13.428
Q744: Expected=-18.43 | Found=-86.88
Q751: Expected=17.302 | Found=25.952
Q755: Expected=1.92 | Found=3.07
Q763: Expected=75.979 | Found=75.779
Q768: Expected=-4879.273 | Found=-4878.416
Q771: Expected=7.6 | Found=7.7
Q773: Expected=23.334 | Found=23.284
Q776: Expected=-1.64 | Found=-3.06
Q777: Expected=-829.13 | Found=-2504.93
Q779: Expected=-111.79710144927536 | Found=-111.974
Q783: Expected=1.0 | Found=2.0
Q785: Expected=13.035 | Found=13.505
Q790: Expected=10.952 | Found=10.752
Q792: Expected=19.41707130079223 | Found=19.37
Q804: Expected=-2267.608 | Found=-2271.181
Q807: Expected=23.334000000000003 | Found=23.284
Q811: Expected=25.195 | Found=26.343
Q819: Expected=15.85068 | Found=16.999
Q823: Expected=5.607786589762077 | Found=5.596
Q835: Expected=-18.426724137931036 | Found=-86.875
Q841: Expected=-15.586 | Found=-16.87
Q846: Expected=-3864.1077299999997 | Found=-3864.30873
Q848: Expected=7.52 | Found=7.99
Q853: Expected=-3864.11 | Found=-3864.31
Q856: Expected=5.903999999999556 | Found=6.504
Q857: Expected=-108.4 | Found=-325.0
Q860: Expected=1.2900107411385606 | Found=1.42151
Q862: Expected=-4879.273203140729 | Found=-4878.4159
Q863: Expected=-9.95 | Found=-18.6
Q864: Expected=7.52 | Found=7.99
Q876: Expected=1.6079999999999997 | Found=3.608
Q881: Expected=-838.7 | Found=-2514.5
Q905: Expected=1.1 | Found=1.2
Q908: Expected=-39.9 | Found=-119.6
Q914: Expected=5.9 | Found=6.5
Q923: Expected=7.149 | Found=8.006
Q924: Expected=-3412.776 | Found=-3413.376
Q933: Expected=-5535.079 | Found=-5534.069
Q938: Expected=2.73 | Found=3.04
Q952: Expected=-95.76978922716629 | Found=-291.99
Q960: Expected=3420.6957 | Found=3421.3
Q966: Expected=176.287 | Found=176.3
Q967: Expected=21.918999999999997 | Found=23.203
Q984: Expected=-110.7 | Found=-493.2
Q985: Expected=-102.934 | Found=-485.434
Q999: Expected=591.149738 | Found=591.24

Total Questions: 1000
Correct Answers: 791
Wrong Answers: 209
Accuracy: 79.10%
