Total Questions: 1000
Correct Answers: 680
Wrong Answers: 320
Accuracy: 68.00%

Mismatched Answers:
Q7: Expected=-110.06 | Found=-110.39
Q556: Expected=-31.105027999999997 | Found=-31.05414012158305
Q559: Expected=0.6960035922766054 | Found=0.7062731748966684
Q566: Expected=1.5 | Found=1.3938893971773003
Q578: Expected=15.199 | Found=15.273
Q583: Expected=-0.8429999999999999 | Found=-1.121366887653196
Q588: Expected=-12.496 | Found=-34.09525340339166
Q589: Expected=-39.336999999999996 | Found=-39.02854408413201
Q595: Expected=-1.445 | Found=-1.309
Q596: Expected=79.46784 | Found=80.37013678690043
Q597: Expected=-171.0 | Found=-488.8
Q599: Expected=-170.96278800000002 | Found=-488.7748691645846
Q601: Expected=175.93762234111966 | Found=175.85881384318688
Q604: Expected=-0.0845415778251599 | Found=-0.7242004264392324
Q605: Expected=129.328 | Found=131.1162811430663
Q610: Expected=20.93 | Found=21.22
Q611: Expected=3.642 | Found=3.7929676055638817
Q616: Expected=4.56 | Found=4.494777252383089
Q618: Expected=12.577 | Found=12.691627295155168
Q626: Expected=180.619 | Found=180.53981384318686
Q628: Expected=1.64 | Found=1.918366887653196
Q629: Expected=0.5990338164251208 | Found=0.6006991873486114
Q632: Expected=5.628 | Found=-1.372
Q634: Expected=0.31300000000000017 | Found=1.0306364524293965
Q638: Expected=11.0 | Found=10.9
Q646: Expected=5.739999999999999 | Found=5.641752370290747
Q650: Expected=7.595000000000001 | Found=7.6383276947128635
Q652: Expected=20.933635480738104 | Found=21.2230950377252
Q657: Expected=2.4 | Found=2.6
Q658: Expected=-694.2615242778119 | Found=-694.6201265447534
Q659: Expected=1.0839999999999996 | Found=1.1223276947128633
Q670: Expected=3.963 | Found=2.7515607612211737
Q671: Expected=-7.686 | Found=-2.227
Q672: Expected=5.946 | Found=6.096967605563882
Q673: Expected=58.14912 | Found=58.04678387839705
Q674: Expected=-790.51 | Found=-788.87
Q675: Expected=2.9 | Found=1.2
Q676: Expected=-817.8739999999999 | Found=-1656.3172818312
Q678: Expected=1.5454961133973482 | Found=1.3938893971773003
Q682: Expected=-95.77 | Found=-193.948
Q686: Expected=-0.793 | Found=-6.793
Q690: Expected=-1.4450000000000003 | Found=-1.3087216579109493
Q701: Expected=17.301599999999997 | Found=19.011833943156127
Q704: Expected=119.61 | Found=120.59
Q706: Expected=0.4280000000000004 | Found=2.0749180407472867
Q713: Expected=19.208358 | Found=19.182212336
Q714: Expected=7.149 | Found=7.285
Q715: Expected=1.0 | Found=7.0
Q716: Expected=10.1 | Found=10.2
Q717: Expected=-66.49730100000001 | Found=-66.52646872570338
Q720: Expected=-3.517 | Found=-3.632
Q721: Expected=9.75 | Found=29.249
Q725: Expected=39.673439 | Found=39.31608356580694
Q729: Expected=-17.88 | Found=-17.94
Q730: Expected=-108.4482 | Found=-216.7691976
Q731: Expected=-2267.6079999999997 | Found=-2268.774891776627
Q733: Expected=11.304409672830724 | Found=11.43245189002851
Q734: Expected=41.596 | Found=41.609
Q735: Expected=-111.8 | Found=-111.9
Q742: Expected=15.199200000000001 | Found=15.272561472
Q743: Expected=13.117999999999999 | Found=13.268967605563882
Q744: Expected=-18.43 | Found=-52.67
Q749: Expected=1.0240000000000027 | Found=0.992616
Q751: Expected=17.302 | Found=19.012
Q753: Expected=19.8555 | Found=12.517938048864007
Q755: Expected=1.92 | Found=2.1322359471710537
Q763: Expected=75.979 | Found=76.00546872570338
Q768: Expected=-4879.273 | Found=-4879.137
Q769: Expected=1.0 | Found=2.0
Q774: Expected=30.46 | Found=30.61
Q776: Expected=-1.64 | Found=-1.92
Q777: Expected=-829.13 | Found=-1667.5732818312
Q779: Expected=-111.79710144927536 | Found=-111.85509284134514
Q783: Expected=1.0 | Found=3.0
Q785: Expected=13.035 | Found=13.138238160102443
Q801: Expected=-38.312 | Found=-38.261
Q802: Expected=1.0 | Found=7.0
Q804: Expected=-2267.608 | Found=-2268.775
Q805: Expected=-10.538 | Found=-10.652627295155169
Q811: Expected=25.195 | Found=25.407235947171053
Q819: Expected=15.85068 | Found=16.063235947171055
Q820: Expected=75.67 | Found=75.873
Q821: Expected=10.139807999999999 | Found=9.145308334880268
Q825: Expected=10.68 | Found=10.7
Q829: Expected=22.727 | Found=15.329938048864006
Q832: Expected=3.622912 | Found=3.511875408
Q833: Expected=1.0 | Found=2.0
Q835: Expected=-18.426724137931036 | Found=-52.6697057289423
Q841: Expected=-15.586 | Found=-4.817018237552845
Q842: Expected=5.288000000000002 | Found=5.152715470528248
Q844: Expected=126.3 | Found=127.338
Q848: Expected=7.52 | Found=7.623238160102443
Q854: Expected=43.067 | Found=42.75554408413201
Q856: Expected=5.903999999999556 | Found=6.457843541562176
Q857: Expected=-108.4 | Found=-216.8
Q860: Expected=1.2900107411385606 | Found=1.3109219490699786
Q862: Expected=-4879.273203140729 | Found=-4879.136721657911
Q863: Expected=-9.95 | Found=-11.659833943156125
Q864: Expected=7.52 | Found=7.62
Q875: Expected=1.5 | Found=1.4
Q880: Expected=-1.7040000000000002 | Found=-0.4925607612211735
Q881: Expected=-838.7 | Found=-1677.1
Q882: Expected=10.212 | Found=9.212
Q888: Expected=7.806843105717209 | Found=7.761301957030561
Q889: Expected=5.716000000000048 | Found=1.598773287168
Q891: Expected=9.758 | Found=9.649875408
Q898: Expected=675.58176 | Found=677.390773287168
Q899: Expected=5.74 | Found=5.64
Q908: Expected=-39.9 | Found=-79.8
Q912: Expected=126.3005 | Found=127.33794660117879
Q914: Expected=5.9 | Found=6.5
Q915: Expected=-31.105 | Found=-31.054
Q920: Expected=2.3458918249380676 | Found=1.5823635475706035
Q921: Expected=2.3419999999999996 | Found=2.445124592
Q923: Expected=7.149 | Found=7.28527834208905
Q924: Expected=-3412.776 | Found=-3413.3298435415622
Q933: Expected=-5535.079 | Found=-5534.926
Q938: Expected=2.73 | Found=2.8849676055638818
Q944: Expected=7.241 | Found=7.175777252383089
Q946: Expected=16.224 | Found=16.16177725238309
Q952: Expected=-95.76978922716629 | Found=-193.9481594650117
Q953: Expected=0.4070000000000036 | Found=1.3860354313163066
Q954: Expected=15.46 | Found=8.062938048864007
Q957: Expected=3.957 | Found=4.055
Q960: Expected=3420.6957 | Found=3421.253843541562
Q962: Expected=23.0252 | Found=22.894715470528247
Q965: Expected=0.2158428663932657 | Found=0.4316857327865314
Q966: Expected=176.287 | Found=176.344
Q967: Expected=21.918999999999997 | Found=11.150018237552844
Q979: Expected=-14.9 | Found=-7.5
Q982: Expected=2.34 | Found=2.45
Q984: Expected=-110.7 | Found=-302.05
Q985: Expected=-102.934 | Found=-294.2838499006467
Q986: Expected=-110.06051199999999 | Found=-110.39170984449576
Q994: Expected=30.4992 | Found=30.750530451866403
Q996: Expected=13.62 | Found=13.73
Q998: Expected=23.03 | Found=22.89

Total Questions: 1000
Correct Answers: 680
Wrong Answers: 320
Accuracy: 68.00%
