Total Questions: 1000
Correct Answers: 774
Wrong Answers: 226
Accuracy: 77.40%

Mismatched Answers:
Q7: Expected=-110.06 | Found=-110.31
Q578: Expected=15.199 | Found=15.284
Q583: Expected=-0.8429999999999999 | Found=-0.8729999999999999
Q589: Expected=-39.336999999999996 | Found=-38.7427
Q597: Expected=-171.0 | Found=-170.8
Q598: Expected=31.636176 | Found=31.670496
Q599: Expected=-170.96278800000002 | Found=-170.81124
Q601: Expected=175.93762234111966 | Found=143.60824742268042
Q604: Expected=-0.0845415778251599 | Found=-1.6836886993603408
Q605: Expected=129.328 | Found=169.578
Q610: Expected=20.93 | Found=27.45
Q614: Expected=4.4 | Found=4.35
Q616: Expected=4.56 | Found=4.52
Q626: Expected=180.619 | Found=148.29100000000003
Q628: Expected=1.64 | Found=1.67
Q632: Expected=5.628 | Found=-1.3719999999999999
Q634: Expected=0.31300000000000017 | Found=0.863
Q636: Expected=-3.5689999999999995 | Found=-3.5289999999999995
Q640: Expected=2.4499999999999997 | Found=-3.6159999999999997
Q650: Expected=7.595000000000001 | Found=1.5950000000000002
Q652: Expected=20.933635480738104 | Found=27.448688896082874
Q658: Expected=-694.2615242778119 | Found=-694.7971727105102
Q659: Expected=1.0839999999999996 | Found=1.6
Q670: Expected=3.963 | Found=0.7926000000000001
Q671: Expected=-7.686 | Found=6.646
Q676: Expected=-817.8739999999999 | Found=-817.7739999999999
Q678: Expected=1.5454961133973482 | Found=1.3946044810242342
Q686: Expected=-0.793 | Found=-15.793
Q695: Expected=21.451 | Found=18.051000000000002
Q701: Expected=17.301599999999997 | Found=17.51787
Q704: Expected=119.61 | Found=120.78
Q707: Expected=13.125128960943258 | Found=13.198820928518792
Q714: Expected=7.149 | Found=7.154
Q715: Expected=1.0 | Found=7.0
Q718: Expected=64.7 | Found=64.61
Q725: Expected=39.673439 | Found=39.45427900000001
Q731: Expected=-2267.6079999999997 | Found=-2269.346
Q735: Expected=-111.8 | Found=-111.9
Q740: Expected=6.970000000000001 | Found=5.692000000000001
Q742: Expected=15.199200000000001 | Found=15.283640000000002
Q751: Expected=17.302 | Found=17.518
Q753: Expected=19.8555 | Found=14.182500000000001
Q769: Expected=1.0 | Found=2.0
Q770: Expected=2.17 | Found=2.15
Q771: Expected=7.6 | Found=1.6
Q776: Expected=-1.64 | Found=-1.67
Q777: Expected=-829.13 | Found=-829.03
Q778: Expected=3.847 | Found=3.85
Q779: Expected=-111.79710144927536 | Found=-111.88405797101449
Q782: Expected=-16.988 | Found=-16.948
Q785: Expected=13.035 | Found=6.349999999999999
Q799: Expected=4.274072 | Found=8.548144
Q801: Expected=-38.312 | Found=-38.24
Q802: Expected=1.0 | Found=16.0
Q804: Expected=-2267.608 | Found=-2269.346
Q820: Expected=75.67 | Found=75.95
Q821: Expected=10.139807999999999 | Found=9.14508
Q829: Expected=22.727 | Found=16.987000000000002
Q839: Expected=-12.337 | Found=-8.937000000000001
Q840: Expected=6.97 | Found=5.69
Q842: Expected=5.288000000000002 | Found=5.0180000000000025
Q844: Expected=126.3 | Found=127.54
Q845: Expected=1.272 | Found=2.55
Q848: Expected=7.52 | Found=0.8349999999999991
Q854: Expected=43.067 | Found=42.467
Q856: Expected=5.903999999999556 | Found=6.1939999999995194
Q863: Expected=-9.95 | Found=-10.166
Q864: Expected=7.52 | Found=9.86
Q875: Expected=1.5 | Found=1.4
Q880: Expected=-1.7040000000000002 | Found=1.4663999999999997
Q881: Expected=-838.7 | Found=-838.6
Q882: Expected=10.212 | Found=9.212
Q888: Expected=7.806843105717209 | Found=7.719110981137592
Q889: Expected=5.716000000000048 | Found=2.288000000000048
Q891: Expected=9.758 | Found=9.748
Q898: Expected=675.58176 | Found=678.0816000000001
Q905: Expected=1.1 | Found=1.6
Q912: Expected=126.3005 | Found=127.5428
Q914: Expected=5.9 | Found=6.2
Q915: Expected=-31.105 | Found=-31.032
Q920: Expected=2.3458918249380676 | Found=1.7534062758051199
Q921: Expected=2.3419999999999996 | Found=2.352
Q922: Expected=-1.0 | Found=-2.0
Q923: Expected=7.149 | Found=7.154
Q924: Expected=-3412.776 | Found=-3413.066
Q925: Expected=9.4 | Found=9.3
Q945: Expected=2.8710000000000004 | Found=8.937000000000001
Q953: Expected=0.4070000000000036 | Found=1.576999999999991
Q954: Expected=15.46 | Found=9.72
Q960: Expected=3420.6957 | Found=3420.98505
Q962: Expected=23.0252 | Found=22.763549999999995
Q968: Expected=-39.877 | Found=-39.804
Q979: Expected=-14.9 | Found=-9.16
Q982: Expected=2.34 | Found=2.35
Q984: Expected=-110.7 | Found=-110.61
Q985: Expected=-102.934 | Found=-102.844
Q986: Expected=-110.06051199999999 | Found=-110.31187999999999
Q994: Expected=30.4992 | Found=30.753359999999997
Q998: Expected=23.03 | Found=22.76

Total Questions: 1000
Correct Answers: 774
Wrong Answers: 226
Accuracy: 77.40%
