Question Number,Answer
Question 227,1.6657
Question 228,-26.134
Question 229,7.149
Question 230,61.17
Question 231,0.118
Question 232,9.768
Question 233,-21.0761
Question 234,2.244
Question 235,152.0686
Question 236,-8.237
Question 237,64.6702
Question 238,455.491
Question 239,-2261.597
Question 240,0.023
Question 241,1.2723
Question 242,0.1395
Question 243,1.789
Question 244,1
Question 245,31.2546
Question 246,12.124
Question 247,1.1941
Question 248,1.424
Question 249,-11.384
Question 250,27.481
Question 251,9.3
Question 252,-4.1892
Question 253,-3.8125
Question 254,-295.8045
Question 255,-5.262
Question 256,0.8566
Question 257,53.391
Question 258,0.194
Question 259,2.035
Question 260,7.449
Question 261,-3.8
Question 262,1.003
Question 263,6.288
Question 264,1
Question 265,1.92
Question 266,-1
Question 267,0.085
Question 268,-827.449
Question 269,1
Question 270,7.05
Question 271,8.901
Question 272,-790.5076
Question 273,24.806
Question 274,80.338
Question 275,1
Question 276,-641.7937
Question 277,-39.34
Question 278,1.2
Question 279,0.1069
Question 280,1.23
Question 281,0.382
Question 282,9.7498
Question 283,-1
Question 284,5.716
Question 285,3.81
Question 286,0.1679
Question 287,-9.726
Question 288,1
Question 289,-3.8938
Question 290,0.547
Question 291,1
Question 292,2.86
Question 293,0.175
Question 294,1.417
Question 295,7.013
Question 296,-3.645
Question 297,2.6535
Question 298,1
Question 299,0.7747
Question 300,-9.07
Question 301,6.4
Question 302,0.141
Question 303,4.868
Question 304,1348.21
Question 305,8.408
Question 306,1
Question 307,3.7983
Question 308,109.633
Question 309,1
Question 310,1
Question 311,-5535.079
Question 312,9.1303
Question 313,69.646
Question 314,3.1
Question 315,2.3
Question 316,2.956
Question 317,0.5204
Question 318,5.23
Question 319,17.1163
Question 320,6.198
Question 321,1
Question 322,31.255
Question 323,-3.888
Question 324,5.525
Question 325,-59.788
Question 326,2.21
Question 327,0.1838
Question 328,2.4
Question 329,13.12
Question 330,0.1809
Question 331,-110.7021
Question 332,10.431
Question 333,5.525
Question 334,-79.6
Question 335,235.5675
Question 336,3.584
Question 337,-109.1
Question 338,-5.26
Question 339,6.299
Question 340,-1
Question 341,0.906
Question 342,-2.45
Question 343,32.8343
Question 344,2.2
Question 345,2.474
Question 346,1.74
Question 347,8.407
Question 348,0.1059
Question 349,10.3
Question 350,13.182
Question 351,0.944
Question 352,1.299
Question 353,8.078
Question 354,29.806
Question 355,7.8
Question 356,8.742
Question 357,10.957
Question 358,-3.517
Question 359,36.421
Question 360,0.43
Question 361,80.3
Question 362,175.666
Question 363,-0.806
Question 364,2.425
Question 365,4886.87
Question 366,455.4912
Question 367,1.5803
Question 368,2.1729
Question 369,4.104
Question 370,1
Question 371,-0.757
Question 372,0.1606
Question 373,1
Question 374,0.546
Question 375,89.054
Question 376,-160.899
Question 377,3.6
Question 378,77.88
Question 379,29.494
Question 380,2.3
Question 381,8.1296
Question 382,-48470.6868
Question 383,9.13
Question 384,2.65
Question 385,-1.6371
Question 386,-14.036
Question 387,5.6234
Question 388,5.346
Question 389,4.11
Question 390,18.72
Question 391,1.83
Question 392,1.024
Question 393,1.451
Question 394,0.7652
Question 395,7.05
Question 396,25.362
Question 397,-641.794
Question 398,176.2873
Question 399,1
Question 400,9.246
Question 401,6.7168
Question 402,3.968
Question 403,1.2006
Question 404,-53.73
Question 405,-109.1493
Question 406,1.916
Question 407,1.92
Question 408,0.426
Question 409,1
Question 410,1
Question 411,-48470.7
Question 412,12.0101
Question 413,2274.4283
Question 414,45.653
Question 415,0.384
Question 416,5.0343
Question 417,2.1
Question 418,1
Question 419,1.4172
Question 420,8.842
Question 421,11.157
Question 422,13.13
Question 423,3.1
Question 424,0.768
Question 425,-390.3257
Question 426,-11.297
Question 427,19.9
Question 428,9.3993
Question 429,1
Question 430,8.801
Question 431,-2259.127
Question 432,-1
Question 433,3.318
Question 434,23.4
Question 435,-1
Question 436,1.024
Question 437,2.32
Question 438,1
Question 439,1
Question 440,-3.9
Question 441,-69.478
Question 442,28.3511
Question 443,2274.428
Question 444,0.153
Question 445,5.1
Question 446,-9.069
Question 447,0.3564
Question 448,0.9941
Question 449,2.474
Question 450,1.896
Question 451,-295.524
Question 452,1.745
Question 453,7.05
Question 454,-1
Question 455,69.8224
Question 456,1
Question 457,68.482
Question 458,10.802
Question 459,-7.83
Question 460,1
Question 461,1.6
Question 462,0.1088
Question 463,1.7
Question 464,7.306
Question 465,2.7307
Question 466,31.636
Question 467,-43.477
Question 468,-79.5923
Question 469,99.6164
Question 470,1.04
Question 471,4.27
Question 472,1
Question 473,-164.34
Question 474,1
Question 475,15.026
Question 476,1
Question 477,3.8
Question 478,1
Question 479,5.866
Question 480,0.438
Question 481,175.6657
Question 482,10.797
Question 483,5
Question 484,6.72
Question 485,1
Question 486,1
Question 487,675.58
Question 488,7.8
Question 489,1
Question 490,7.7582
Question 491,591.1
Question 492,0.85
Question 493,-30.077
Question 494,1.04
Question 495,6.9
Question 496,79.47
Question 497,27.8461
Question 498,1.2726
Question 499,17.658
Question 500,25.4
Question 501,-243.293
Question 502,4.636
Question 503,1.21
Question 504,18.618
Question 505,6.992
Question 506,-4.557
Question 507,-32.574
Question 508,-14.885
Question 509,27.293
Question 510,4.5
Question 511,23.409
Question 512,1
Question 513,2.067
Question 514,13.6237
Question 515,5.71
Question 516,58.149
Question 517,-16.244
Question 518,10.55
Question 519,1.134
Question 520,8.1
Question 521,-390.326
Question 522,-1.7
Question 523,2.969
Question 524,1
Question 525,1
Question 526,75.6702
Question 527,119.6061
Question 528,30.5
Question 529,1.895
Question 530,-2.244
Question 531,6.299
Question 532,46.0737
Question 533,12.652
Question 534,11.3339
Question 535,8.117
Question 536,65.764
Question 537,36.64
Question 538,1
Question 539,1
Question 540,1.024
Question 541,3.589
Question 542,-26.1
Question 543,2.498
Question 544,6.02
Question 545,2.3167
Question 546,5.672
Question 547,1
Question 548,0.1914
Question 549,8.762
Question 550,-26.0772
Question 551,79.4148
Question 552,-817.874
Question 553,44.5232
Question 554,1
Question 555,2.229
Question 556,-31.105
Question 557,29.81
Question 558,19.439
Question 559,0.696
Question 560,-1
Question 561,1
Question 562,1.338
Question 563,2.225
Question 564,8.845
Question 565,0.6564
Question 566,1.5
Question 567,17.081
Question 568,7.449
Question 569,8.553
Question 570,0.522
Question 571,652.63
Question 572,99.616
Question 573,33.72
Question 574,1
Question 575,6.198
Question 576,1
Question 577,-1.513
Question 578,15.199
Question 579,6.9921
Question 580,8.6418
Question 581,12.01
Question 582,3.847
Question 583,-0.843
Question 584,1
Question 585,0.3708
Question 586,1.918
Question 587,1.63
Question 588,-12.496
Question 589,-39.337
Question 590,59.6653
Question 591,1
Question 592,3.589
Question 593,-1.543
Question 594,4.609
Question 595,-1.445
Question 596,79.4678
Question 597,-171
Question 598,31.6362
Question 599,-170.9628
Question 600,19.42
Question 601,175.9376
Question 602,-3.999
Question 603,1
Question 604,-0.0845
Question 605,129.328
Question 606,59.7
Question 607,4.047
Question 608,-11.6083
Question 609,5.367
Question 610,20.93
Question 611,3.642
Question 612,1
Question 613,2.0673
Question 614,4.4
Question 615,0.8648
Question 616,4.56
Question 617,11.4
Question 618,12.577
Question 619,-41.295
Question 620,0.4614
Question 621,7.278
Question 622,0.3798
Question 623,1
Question 624,3199.37
Question 625,77.8789
Question 626,180.619
Question 627,0.6871
Question 628,1.64
Question 629,0.599
Question 630,3.1457
Question 631,1.04
Question 632,5.628
Question 633,4.136
Question 634,0.313
Question 635,-1
Question 636,-3.569
Question 637,1
Question 638,11
Question 639,0.775
Question 640,2.45
Question 641,2.6555
Question 642,8.862
Question 643,365.243
Question 644,17.0815
Question 645,0.1916
Question 646,5.74
Question 647,8.335
Question 648,-1.5127
Question 649,1.197
Question 650,7.595
Question 651,1.614
Question 652,20.9336
Question 653,365.243
Question 654,-1
Question 655,0.352
Question 656,43.197
Question 657,2.4
Question 658,-694.2615
Question 659,1.084
Question 660,-1
Question 661,2.32
Question 662,8.891
Question 663,1.632
Question 664,1
Question 665,-1
Question 666,-3.853
Question 667,0.6062
Question 668,2.149
Question 669,43.1967
Question 670,3.963
Question 671,-7.686
Question 672,5.946
Question 673,58.1491
Question 674,-790.51
Question 675,2.9
Question 676,-817.874
Question 677,0.1586
Question 678,1.5455
Question 679,70.206
Question 680,-1378.5623
Question 681,6.42
Question 682,-95.77
Question 683,-3.9
Question 684,-37.4
Question 685,-0.5514
Question 686,-0.793
Question 687,1
Question 688,1
Question 689,-11.6
Question 690,-1.445
Question 691,1
Question 692,0.154
Question 693,1
Question 694,2.76
Question 695,21.451
Question 696,1
Question 697,-0.1732
Question 698,3.6
Question 699,-1.01
Question 700,2.175
Question 701,17.3016
Question 702,1.8949
Question 703,-3.9
Question 704,119.61
Question 705,1.964
Question 706,0.428
Question 707,13.1251
Question 708,-66.5
Question 709,0.1116
Question 710,1
Question 711,30.094
Question 712,2.45
Question 713,19.2084
Question 714,7.149
Question 715,1
Question 716,9.7
Question 717,-66.4973
Question 718,64.7
Question 719,35.924
Question 720,-3.517
Question 721,9.75
Question 722,12.974
Question 723,-9.652
Question 724,19.5665
Question 725,39.6734
Question 726,1
Question 727,1
Question 728,33.48
Question 729,-17.88
Question 730,-108.4482
Question 731,-2267.608
Question 732,23.5562
Question 733,11.3044
Question 734,41.596
Question 735,-111.8
Question 736,9.452
Question 737,-17.1114
Question 738,-3.905
Question 739,0.3877
Question 740,6.97
Question 741,3.811
Question 742,15.1992
Question 743,13.118
Question 744,-18.43
Question 745,1
Question 746,1
Question 747,-7.8294
Question 748,1
Question 749,1.024
Question 750,-1
Question 751,17.302
Question 752,1
Question 753,19.8555
Question 754,-448.793
Question 755,1.92
Question 756,1.2
Question 757,13.024
Question 758,17.1
Question 759,5.031
Question 760,13.02
Question 761,39.289
Question 762,1.44
Question 763,75.979
Question 764,1
Question 765,1
Question 766,-37.431
Question 767,3.737
Question 768,-4879.273
Question 769,1
Question 770,2.17
Question 771,7.6
Question 772,6.634
Question 773,23.334
Question 774,27.85
Question 775,12.65
Question 776,-1.64
Question 777,-829.13
Question 778,3.847
Question 779,-111.7971
Question 780,0
Question 781,-3.85
Question 782,-16.988
Question 783,1
Question 784,3.1
Question 785,13.035
Question 786,1.21
Question 787,-25.324
Question 788,7.14
Question 789,4.038
Question 790,10.952
Question 791,64.15
Question 792,19.4171
Question 793,3.586
Question 794,2.656
Question 795,-166.53
Question 796,1.826
Question 797,1
Question 798,5.072
Question 799,4.2741
Question 800,5.954
Question 801,-38.312
Question 802,1
Question 803,5.0572
Question 804,-2267.608
Question 805,-10.538
Question 806,1
Question 807,23.334
Question 808,4.321
Question 809,1.987
Question 810,-4.5
Question 811,25.195
Question 812,2.32
Question 813,3.253
Question 814,1
Question 815,7.3532
Question 816,0.724
Question 817,5.623
Question 818,60.605
Question 819,15.8507
Question 820,75.67
Question 821,10.1398
Question 822,0.265
Question 823,5.6078
Question 824,1
Question 825,10.68
Question 826,33.559
Question 827,-1.5433
Question 828,0.7148
Question 829,22.727
Question 830,6.72
Question 831,54.2958
Question 832,3.6229
Question 833,1
Question 834,8.723
Question 835,-18.4267
Question 836,11.244
Question 837,10.713
Question 838,3.318
Question 839,-12.337
Question 840,6.97
Question 841,-15.586
Question 842,5.288
Question 843,1.2
Question 844,126.3
Question 845,1.272
Question 846,-3864.1077
Question 847,9.725
Question 848,7.52
Question 849,6.474
Question 850,0.7419
Question 851,0.6533
Question 852,6.2
Question 853,-3864.11
Question 854,43.067
Question 855,2.0346
Question 856,5.904
Question 857,-108.4
Question 858,-0.08
Question 859,1
Question 860,1.29
Question 861,1
Question 862,-4879.2732
Question 863,-9.95
Question 864,7.52
Question 865,-9.833
Question 866,32.742
Question 867,20.389
Question 868,3.6297
Question 869,-1
Question 870,-1.218
Question 871,2.904
Question 872,1
Question 873,6.555
Question 874,-0.8756
Question 875,1.5
Question 876,1.608
Question 877,6.39
Question 878,46.07
Question 879,4.37
Question 880,-1.704
Question 881,-838.7
Question 882,10.212
Question 883,1
Question 884,23.56
Question 885,0.852
Question 886,0.4291
Question 887,1
Question 888,7.8068
Question 889,5.716
Question 890,-3.9132
Question 891,9.758
Question 892,4.108
Question 893,1
Question 894,1
Question 895,1
Question 896,-26.134
Question 897,29.4945
Question 898,675.5818
Question 899,5.74
Question 900,1
Question 901,-166.527
Question 902,12.696
Question 903,26.24
Question 904,1.52
Question 905,1.1
Question 906,1.2596
Question 907,1.219
Question 908,-39.9
Question 909,-2.446
Question 910,-0.8126
Question 911,1
Question 912,126.3005
Question 913,0.477
Question 914,5.9
Question 915,-31.105
Question 916,11.4034
Question 917,6.514
Question 918,6.379
Question 919,370.34
Question 920,2.3459
Question 921,2.342
Question 922,-1
Question 923,7.149
Question 924,-3412.776
Question 925,9.4
Question 926,-3.894
Question 927,6.66
Question 928,2.174
Question 929,12.1603
Question 930,1
Question 931,11.995
Question 932,-1
Question 933,-5535.079
Question 934,1
Question 935,-43.893
Question 936,5.61
Question 937,1
Question 938,2.73
Question 939,54.3
Question 940,11.165
Question 941,13.079
Question 942,1
Question 943,-15.038
Question 944,7.241
Question 945,2.871
Question 946,16.224
Question 947,1
Question 948,1
Question 949,6.153
Question 950,1
Question 951,1
Question 952,-95.7698
Question 953,0.407
Question 954,15.46
Question 955,5.467
Question 956,8.786
Question 957,3.957
Question 958,2
Question 959,0.657
Question 960,3420.6957
Question 961,9.064
Question 962,23.0252
Question 963,1
Question 964,1
Question 965,0.2158
Question 966,176.287
Question 967,21.919
Question 968,-39.877
Question 969,0.3003
Question 970,9.72
Question 971,1
Question 972,-4.723
Question 973,1
Question 974,1.579
Question 975,171.6
Question 976,1.92
Question 977,0.1181
Question 978,3.127
Question 979,-14.9
Question 980,12.696
Question 981,1.5785
Question 982,2.34
Question 983,0.422
Question 984,-110.7
Question 985,-102.934
Question 986,-110.0605
Question 987,26.3529
Question 988,5.95
Question 989,20.4
Question 990,5.377
Question 991,4.41
Question 992,1
Question 993,0.1115
Question 994,30.4992
Question 995,7.278
Question 996,13.62
Question 997,4.9
Question 998,23.03
Question 999,591.1497
Question 1000,39.374
